shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
226,226,2023-08-09,,Amazon Logistics,Delivered
227,227,2023-04-26,,FedEx,Delivered
228,228,2022-12-22,,FedEx,Delivered
229,229,2023-10-17,2023-10-19,DTDC,Returned
230,230,2023-08-18,2023-08-21,Amazon Logistics,Returned
231,231,2022-04-01,,Ekart,Delivered
232,232,2022-08-14,,India Post,Cancelled
233,233,2022-10-17,,DTDC,Delivered
234,234,2022-09-13,,FedEx,Delivered
235,235,2022-08-19,,Delhivery,Pending
236,236,2023-08-15,,Delhivery,Delivered
237,237,2022-02-17,,Ekart,In Transit
238,238,2023-06-02,,DTDC,Delivered
239,239,2023-05-10,,BlueDart,Cancelled
240,240,2023-04-12,,Ekart,Delivered
241,241,2022-01-16,,Delhivery,Delivered
242,242,2022-08-15,,Amazon Logistics,Delivered
243,243,2023-10-29,,Delhivery,Delivered
244,244,2022-11-10,,BlueDart,Delivered
245,245,2023-08-11,,Delhivery,Delivered
246,246,2023-04-12,,India Post,Delivered
247,247,2023-12-27,,Ekart,Cancelled
248,248,2023-01-19,,DTDC,In Transit
249,249,2022-01-06,,India Post,Delivered
250,250,2023-12-10,,Amazon Logistics,Delivered
251,251,2023-03-16,,Delhivery,In Transit
252,252,2023-09-21,,Delhivery,Cancelled
253,253,2023-12-06,2023-12-09,India Post,Returned
254,254,2022-03-03,,BlueDart,Delivered
255,255,2022-02-27,,FedEx,Delivered
256,256,2023-09-29,,India Post,Delivered
257,257,2023-10-27,,Amazon Logistics,Delivered
258,258,2023-12-31,,Ekart,Delivered
259,259,2022-12-12,,India Post,Delivered
260,260,2023-05-06,,Delhivery,Delivered
261,261,2023-12-23,,DTDC,In Transit
262,262,2022-08-24,2022-08-31,BlueDart,Returned
263,263,2023-06-05,,BlueDart,Delivered
264,264,2022-03-09,,Delhivery,Delivered
265,265,2023-05-31,,Amazon Logistics,Delivered
266,266,2023-07-01,2023-07-11,Amazon Logistics,Returned
267,267,2023-04-12,,Ekart,Cancelled
268,268,2023-12-15,,India Post,Delivered
269,269,2023-04-16,,Delhivery,Delivered
270,270,2022-07-07,,India Post,Delivered
271,271,2022-10-15,,India Post,Delivered
272,272,2022-06-05,,Amazon Logistics,Delivered
273,273,2023-10-08,,Delhivery,Delivered
274,274,2023-12-02,,Delhivery,Delivered
275,275,2023-03-12,,BlueDart,Delivered
276,276,2022-10-27,,Ekart,Delivered
277,277,2022-08-27,,India Post,Delivered
278,278,2023-03-03,,FedEx,In Transit
279,279,2022-12-02,,India Post,In Transit
280,280,2023-07-01,,BlueDart,Delivered
281,281,2022-11-09,2022-11-16,Delhivery,Returned
282,282,2022-11-12,,FedEx,Delivered
283,283,2023-01-17,,FedEx,In Transit
284,284,2022-02-21,,DTDC,Delivered
285,285,2022-06-24,,Amazon Logistics,In Transit
286,286,2022-10-23,,FedEx,Cancelled
287,287,2023-12-15,,DTDC,Cancelled
288,288,2022-06-20,,FedEx,Delivered
289,289,2022-11-22,,DTDC,Delivered
290,290,2023-01-16,,Ekart,Delivered
291,291,2022-02-06,,India Post,Pending
292,292,2022-06-03,,DTDC,Delivered
293,293,2022-06-21,,FedEx,Delivered
294,294,2022-01-30,,BlueDart,In Transit
295,295,2023-04-16,,Amazon Logistics,Delivered
296,296,2023-07-17,,Delhivery,Delivered
297,297,2023-12-27,2024-01-06,Amazon Logistics,Returned
298,298,2023-08-13,,BlueDart,Cancelled
299,299,2023-04-01,,Amazon Logistics,Delivered
300,300,2023-05-07,,India Post,Delivered
301,301,2023-07-23,,Ekart,Delivered
302,302,2023-09-28,,BlueDart,Delivered
303,303,2022-04-07,,BlueDart,Delivered
304,304,2022-07-23,,BlueDart,Delivered
305,305,2022-10-13,,FedEx,Delivered
306,306,2023-04-04,,Delhivery,Pending
307,307,2023-06-10,,Ekart,Delivered
308,308,2023-09-15,,FedEx,Pending
309,309,2023-11-18,,DTDC,Delivered
310,310,2023-03-17,,Amazon Logistics,Delivered
311,311,2022-10-21,,Amazon Logistics,Delivered
312,312,2023-04-06,,BlueDart,Delivered
313,313,2023-04-03,,Ekart,Cancelled
314,314,2022-10-25,,Amazon Logistics,Pending
315,315,2023-03-13,,BlueDart,Delivered
316,316,2023-08-28,,Delhivery,Delivered
317,317,2022-11-08,,FedEx,Pending
318,318,2022-03-11,,Ekart,In Transit
319,319,2022-04-04,,Delhivery,Delivered
320,320,2022-10-08,,Delhivery,Delivered
321,321,2024-01-02,2024-01-10,Ekart,Returned
322,322,2022-07-27,,Ekart,Delivered
323,323,2023-05-19,,Delhivery,Cancelled
324,324,2022-11-10,,Delhivery,In Transit
325,325,2022-08-22,,BlueDart,Delivered
326,326,2022-11-08,,DTDC,Cancelled
327,327,2023-05-02,,FedEx,In Transit
328,328,2022-10-23,,Ekart,Delivered
329,329,2023-12-08,,DTDC,Delivered
330,330,2022-10-15,,DTDC,Delivered
331,331,2023-01-09,,DTDC,Delivered
332,332,2022-09-24,,Ekart,Delivered
333,333,2023-12-16,,Delhivery,Delivered
334,334,2023-08-14,,India Post,Delivered
335,335,2022-03-03,,Ekart,Delivered
336,336,2023-12-15,,India Post,Delivered
337,337,2022-10-08,,Delhivery,Delivered
338,338,2023-01-04,,India Post,Delivered
339,339,2023-10-20,,BlueDart,Delivered
340,340,2023-10-07,,BlueDart,Delivered
341,341,2022-06-24,2022-07-02,FedEx,Returned
342,342,2023-12-07,,BlueDart,Delivered
343,343,2023-12-20,,FedEx,Delivered
344,344,2023-08-18,,DTDC,Delivered
345,345,2023-06-19,,BlueDart,Cancelled
346,346,2023-02-27,,Delhivery,Delivered
347,347,2022-06-09,,India Post,Cancelled
348,348,2023-08-01,,BlueDart,Cancelled
349,349,2023-06-27,,Ekart,In Transit
350,350,2023-12-26,,Delhivery,Delivered
351,351,2022-03-22,2022-03-27,DTDC,Returned
352,352,2023-05-09,,FedEx,In Transit
353,353,2022-05-25,2022-05-30,BlueDart,Returned
354,354,2023-09-07,,DTDC,Pending
355,355,2022-07-01,,DTDC,Delivered
356,356,2022-05-07,2022-05-14,BlueDart,Returned
357,357,2022-05-30,,DTDC,Delivered
358,358,2022-08-07,,Amazon Logistics,Delivered
359,359,2022-04-26,,Ekart,Cancelled
360,360,2023-03-23,,DTDC,Delivered
361,361,2023-11-09,,Delhivery,Delivered
362,362,2022-05-03,,India Post,Delivered
363,363,2022-11-10,,Delhivery,In Transit
364,364,2022-05-08,,Delhivery,Delivered
365,365,2022-07-27,,Delhivery,Delivered
366,366,2022-04-07,,India Post,Pending
367,367,2023-08-20,,Ekart,Delivered
368,368,2023-06-02,,Amazon Logistics,Delivered
369,369,2023-06-05,,India Post,Delivered
370,370,2023-08-19,,India Post,Delivered
371,371,2022-07-17,,FedEx,Delivered
372,372,2023-07-06,,Delhivery,Delivered
373,373,2022-08-09,2022-08-15,BlueDart,Returned
374,374,2023-05-03,,DTDC,Delivered
375,375,2023-03-30,,FedEx,Delivered
376,376,2023-01-04,,BlueDart,Delivered
377,377,2022-08-25,,BlueDart,In Transit
378,378,2022-11-19,,FedEx,Delivered
379,379,2022-05-22,,Delhivery,Delivered
380,380,2022-10-26,,Ekart,Delivered
381,381,2022-12-05,,India Post,Delivered
382,382,2023-04-15,,Delhivery,Delivered
383,383,2023-04-04,,Delhivery,Delivered
384,384,2023-03-17,2023-03-19,DTDC,Returned
385,385,2023-05-07,,India Post,Delivered
386,386,2022-01-17,,India Post,In Transit
387,387,2023-02-13,,Delhivery,In Transit
388,388,2022-04-02,,India Post,Delivered
389,389,2023-12-14,,BlueDart,In Transit
390,390,2022-06-27,,Amazon Logistics,Pending
391,391,2022-12-18,,DTDC,Cancelled
392,392,2023-02-19,,Ekart,Cancelled
393,393,2023-05-30,,Delhivery,In Transit
394,394,2023-08-23,,Ekart,In Transit
395,395,2023-10-23,,India Post,Delivered
396,396,2023-11-16,,BlueDart,Pending
397,397,2023-06-12,,BlueDart,In Transit
398,398,2022-04-24,,Ekart,Delivered
399,399,2022-08-26,,BlueDart,Delivered
400,400,2022-02-26,,DTDC,Delivered
401,401,2022-02-02,,Delhivery,Delivered
402,402,2023-12-02,,India Post,Delivered
403,403,2023-10-03,,Amazon Logistics,Delivered
404,404,2023-06-19,,India Post,Cancelled
405,405,2022-07-31,,India Post,Delivered
406,406,2023-06-05,,BlueDart,Delivered
407,407,2023-07-12,,India Post,Pending
408,408,2022-02-07,,DTDC,Delivered
409,409,2022-11-23,,FedEx,Delivered
410,410,2022-02-07,,Ekart,Delivered
411,411,2022-11-11,,FedEx,Delivered
412,412,2023-03-22,,DTDC,In Transit
413,413,2023-05-16,,DTDC,Delivered
414,414,2023-05-23,,BlueDart,In Transit
415,415,2023-08-13,,India Post,Delivered
416,416,2022-06-12,,India Post,Delivered
417,417,2023-05-27,,Delhivery,Delivered
418,418,2022-12-29,,Amazon Logistics,Delivered
419,419,2022-01-30,,BlueDart,Delivered
420,420,2023-01-14,,India Post,Delivered
421,421,2023-10-06,,Amazon Logistics,Delivered
422,422,2022-12-25,,BlueDart,Delivered
423,423,2023-11-13,,FedEx,Delivered
424,424,2022-11-21,2022-11-26,Delhivery,Returned
425,425,2022-03-10,,Ekart,Delivered
426,426,2022-06-28,,Delhivery,Delivered
427,427,2023-04-21,,DTDC,Delivered
428,428,2023-03-12,,BlueDart,In Transit
429,429,2023-08-31,,FedEx,Delivered
430,430,2023-02-07,,India Post,Delivered
431,431,2023-05-19,,BlueDart,In Transit
432,432,2022-12-15,,DTDC,Cancelled
433,433,2023-11-18,,Amazon Logistics,Delivered
434,434,2023-01-11,,Amazon Logistics,Delivered
435,435,2023-10-15,,India Post,Cancelled
436,436,2023-07-06,,FedEx,Delivered
437,437,2022-11-03,,Amazon Logistics,Cancelled
438,438,2023-10-05,,Ekart,In Transit
439,439,2023-08-17,,India Post,Delivered
440,440,2022-03-14,,Amazon Logistics,Delivered
441,441,2022-08-07,,Amazon Logistics,In Transit
442,442,2022-11-09,,BlueDart,Delivered
443,443,2023-07-12,,DTDC,Delivered
444,444,2022-09-19,,Delhivery,Delivered
445,445,2023-07-16,,Ekart,Delivered
446,446,2023-06-18,,India Post,Delivered
447,447,2022-08-10,,Ekart,Pending
448,448,2022-10-04,,India Post,Delivered
449,449,2023-09-24,2023-10-03,BlueDart,Returned
450,450,2023-08-08,,India Post,Delivered
451,451,2022-07-27,,Ekart,Delivered
452,452,2022-06-05,,Amazon Logistics,In Transit
453,453,2023-03-24,2023-04-01,Amazon Logistics,Returned
454,454,2022-03-08,,BlueDart,Cancelled
455,455,2022-10-06,,Ekart,Delivered
456,456,2022-09-25,,Amazon Logistics,Delivered
457,457,2022-09-03,,India Post,Delivered
458,458,2022-09-10,,BlueDart,Delivered
459,459,2023-08-02,,Amazon Logistics,Delivered
460,460,2022-02-09,,Ekart,Delivered
461,461,2022-01-31,,FedEx,In Transit
462,462,2022-07-01,,FedEx,Pending
463,463,2023-05-16,,Amazon Logistics,Delivered
464,464,2022-04-01,,BlueDart,Delivered
465,465,2022-03-12,2022-03-15,India Post,Returned
466,466,2023-11-23,,BlueDart,Delivered
467,467,2022-05-25,,Amazon Logistics,Delivered
468,468,2023-05-30,,Delhivery,Delivered
469,469,2023-08-22,,India Post,Pending
470,470,2022-09-19,,India Post,Delivered
471,471,2022-05-08,,FedEx,Delivered
472,472,2023-08-23,,DTDC,Cancelled
473,473,2022-09-04,,Ekart,Delivered
474,474,2022-04-24,,Amazon Logistics,Pending
475,475,2023-03-31,2023-04-09,Amazon Logistics,Returned
476,476,2022-02-28,,BlueDart,Delivered
477,477,2022-04-29,,India Post,Delivered
478,478,2023-12-06,2023-12-15,Delhivery,Returned
479,479,2022-06-02,,FedEx,In Transit
480,480,2022-11-14,,BlueDart,Pending
481,481,2023-09-14,,FedEx,In Transit
482,482,2022-02-28,,Ekart,Delivered
483,483,2023-07-25,,Ekart,Delivered
484,484,2023-12-22,,Ekart,Delivered
485,485,2022-09-01,,Ekart,Delivered
486,486,2023-02-11,,Delhivery,Delivered
487,487,2022-09-02,2022-09-09,Ekart,Returned
488,488,2022-06-19,,India Post,Delivered
489,489,2023-10-23,,FedEx,Delivered
490,490,2022-03-26,,Delhivery,Pending
491,491,2023-04-29,2023-05-06,Amazon Logistics,Returned
492,492,2022-12-08,2022-12-13,DTDC,Returned
493,493,2022-04-17,,Delhivery,In Transit
494,494,2023-06-08,,India Post,Delivered
495,495,2023-07-19,,Amazon Logistics,Delivered
496,496,2022-02-01,,India Post,Delivered
497,497,2022-07-13,,Amazon Logistics,Cancelled
498,498,2022-05-25,,Delhivery,Delivered
499,499,2022-11-12,,BlueDart,Delivered
500,500,2022-06-12,,Ekart,In Transit
501,501,2023-10-30,,BlueDart,Cancelled
502,502,2023-12-08,,Ekart,Delivered
503,503,2022-05-20,,Amazon Logistics,In Transit
504,504,2022-12-07,,Ekart,Delivered
505,505,2023-03-05,,Delhivery,Delivered
506,506,2023-01-25,,FedEx,Delivered
507,507,2022-01-25,,FedEx,Delivered
508,508,2023-10-06,,India Post,Pending
509,509,2022-07-24,2022-08-02,India Post,Returned
510,510,2022-02-24,,DTDC,Delivered
511,511,2022-09-29,,Ekart,Pending
512,512,2022-06-27,,Ekart,Delivered
513,513,2023-06-27,2023-07-02,DTDC,Returned
514,514,2023-04-15,,FedEx,Delivered
515,515,2022-08-21,,India Post,Delivered
516,516,2022-10-05,,DTDC,Delivered
517,517,2022-05-16,,FedEx,Delivered
518,518,2022-10-19,,DTDC,Delivered
519,519,2022-07-08,,FedEx,Delivered
520,520,2022-10-01,,FedEx,Delivered
521,521,2022-09-16,,Amazon Logistics,In Transit
522,522,2023-04-16,,Delhivery,Delivered
523,523,2022-12-01,,Delhivery,Delivered
524,524,2022-08-07,,Amazon Logistics,In Transit
525,525,2023-09-05,,FedEx,Delivered
526,526,2022-03-04,,BlueDart,Pending
527,527,2023-05-02,,DTDC,Pending
528,528,2023-11-22,,India Post,In Transit
529,529,2022-02-21,,BlueDart,Delivered
530,530,2023-01-28,,Ekart,In Transit
531,531,2022-05-20,,BlueDart,Delivered
532,532,2022-07-08,,BlueDart,Delivered
533,533,2022-12-19,,Ekart,Delivered
534,534,2022-11-26,,FedEx,Delivered
535,535,2022-09-26,,Delhivery,Delivered
536,536,2022-05-14,,Delhivery,In Transit
537,537,2023-03-18,,Delhivery,Delivered
538,538,2022-09-29,,Delhivery,Delivered
539,539,2022-06-23,,Ekart,Pending
540,540,2022-06-09,,Delhivery,Delivered
541,541,2023-03-28,,DTDC,Delivered
542,542,2022-08-28,,FedEx,Delivered
543,543,2022-06-19,,FedEx,Delivered
544,544,2023-05-26,,DTDC,Delivered
545,545,2023-12-30,,Delhivery,Delivered
546,546,2022-04-29,2022-05-06,Delhivery,Returned
547,547,2022-05-11,,India Post,Delivered
548,548,2022-10-20,,BlueDart,In Transit
549,549,2022-10-09,,FedEx,Delivered
550,550,2023-08-24,,Amazon Logistics,Delivered
551,551,2023-08-13,2023-08-22,DTDC,Returned
552,552,2022-09-14,,FedEx,In Transit
553,553,2022-12-04,,BlueDart,In Transit
554,554,2023-11-30,,FedEx,Delivered
555,555,2022-04-21,,Ekart,Delivered
556,556,2022-03-30,,Amazon Logistics,In Transit
557,557,2023-04-15,,Delhivery,Delivered
558,558,2022-01-09,,India Post,In Transit
559,559,2023-04-12,,BlueDart,Pending
560,560,2023-08-10,2023-08-15,FedEx,Returned
561,561,2023-10-24,,Amazon Logistics,Cancelled
562,562,2022-03-16,,Delhivery,Delivered
563,563,2023-02-18,,Delhivery,Delivered
564,564,2023-02-14,2023-02-23,India Post,Returned
565,565,2022-06-20,,FedEx,Delivered
566,566,2023-10-29,,DTDC,Delivered
567,567,2022-11-03,,Amazon Logistics,In Transit
568,568,2022-11-16,,FedEx,Delivered
569,569,2023-01-06,,India Post,Cancelled
570,570,2023-06-13,,DTDC,Delivered
571,571,2023-02-03,,DTDC,Delivered
572,572,2023-03-13,,Ekart,Delivered
573,573,2023-01-17,,India Post,Delivered
574,574,2023-03-17,,Amazon Logistics,Delivered
575,575,2023-04-25,,BlueDart,Delivered
576,576,2022-06-12,,DTDC,Delivered
577,577,2023-10-27,,BlueDart,Delivered
578,578,2023-03-26,,India Post,Delivered
579,579,2022-05-14,,Delhivery,Cancelled
580,580,2023-06-23,,India Post,Delivered
581,581,2023-07-22,,Delhivery,Delivered
582,582,2023-06-10,,Delhivery,Delivered
583,583,2023-11-13,,India Post,Cancelled
584,584,2022-12-31,,BlueDart,Delivered
585,585,2023-06-03,,Ekart,In Transit
586,586,2023-04-22,,BlueDart,Cancelled
587,587,2022-02-21,2022-02-25,Ekart,Returned
588,588,2022-11-03,,BlueDart,In Transit
589,589,2023-11-23,,DTDC,Cancelled
590,590,2022-12-21,,BlueDart,Delivered
591,591,2022-03-24,,Ekart,Delivered
592,592,2023-11-26,,India Post,Delivered
593,593,2022-01-09,,Ekart,Delivered
594,594,2023-11-06,,Ekart,In Transit
595,595,2023-11-07,,FedEx,Delivered
596,596,2023-05-17,,Delhivery,Cancelled
597,597,2023-09-26,,FedEx,In Transit
598,598,2023-12-09,,Ekart,Cancelled
599,599,2022-04-05,,Ekart,Delivered
600,600,2022-04-29,,BlueDart,In Transit
601,601,2022-07-17,,FedEx,Delivered
602,602,2023-10-30,,DTDC,Delivered
603,603,2023-10-05,,Ekart,Delivered
604,604,2022-11-10,,Amazon Logistics,Delivered
605,605,2023-03-12,,Delhivery,Delivered
