inventory_id,product_id,stock,warehouse_id,last_stock_date
138,138,86,10,2023-08-19
139,139,85,7,2023-01-11
140,140,452,15,2023-03-27
141,141,227,10,2022-03-25
142,142,340,10,2023-08-17
143,143,22,12,2023-04-28
144,144,43,16,2022-12-12
145,145,98,5,2022-05-12
146,146,365,16,2023-11-30
147,147,319,20,2023-05-21
148,148,355,22,2022-12-23
149,149,83,13,2022-05-05
150,150,161,17,2023-04-21
151,151,483,17,2023-10-02
152,152,360,17,2023-09-02
153,153,413,23,2022-04-29
154,154,205,24,2023-07-22
155,155,441,8,2022-04-12
156,156,244,4,2022-11-21
157,157,443,4,2022-04-06
158,158,34,9,2022-06-16
159,159,370,9,2022-04-29
160,160,80,10,2023-12-20
161,161,412,17,2022-11-16
162,162,186,10,2023-03-03
163,163,225,7,2022-03-18
164,164,468,22,2022-07-28
165,165,227,3,2023-04-27
166,166,458,23,2022-09-28
167,167,47,19,2022-01-01
168,168,349,14,2023-02-16
169,169,305,11,2022-11-14
170,170,463,11,2023-11-02
171,171,27,18,2022-12-27
172,172,243,24,2022-01-06
173,173,98,9,2022-01-08
174,174,457,4,2023-10-28
175,175,407,3,2023-05-20
176,176,206,3,2023-04-18
177,177,14,13,2022-04-17
178,178,105,21,2022-02-07
179,179,58,4,2023-11-20
180,180,64,15,2022-08-07
181,181,272,8,2022-04-03
182,182,340,17,2023-10-09
183,183,424,21,2022-03-31
184,184,232,6,2022-01-31
185,185,480,8,2022-11-22
186,186,240,19,2023-01-25
187,187,183,14,2022-09-23
188,188,6,1,2022-03-07
189,189,291,3,2023-11-13
190,190,396,21,2022-11-21
191,191,148,5,2023-02-13
192,192,370,2,2023-12-28
193,193,457,15,2023-07-21
194,194,419,5,2022-10-25
195,195,38,4,2023-03-08
196,196,445,9,2022-07-30
197,197,138,25,2023-12-07
198,198,88,10,2023-11-08
199,199,362,3,2022-05-06
200,200,129,16,2022-11-21
201,201,449,10,2023-11-06
202,202,202,14,2022-05-28
203,203,140,25,2023-06-25
204,204,74,5,2022-08-23
205,205,487,2,2023-10-22
206,206,217,10,2022-05-10
207,207,380,3,2022-03-23
208,208,216,17,2022-09-25
209,209,204,2,2022-08-18
210,210,265,20,2022-12-23
211,211,50,21,2023-12-20
212,212,173,20,2022-06-02
213,213,121,9,2023-12-07
214,214,216,13,2022-11-23
215,215,75,3,2023-05-23
216,216,146,14,2022-09-21
217,217,166,7,2022-08-28
218,218,50,14,2022-10-04
219,219,297,11,2022-01-10
220,220,220,2,2022-11-28
221,221,330,10,2022-04-16
222,222,49,23,2022-08-07
223,223,243,21,2022-04-17
224,224,476,8,2023-10-20
225,225,345,10,2023-10-19
226,226,217,24,2022-09-05
227,227,323,4,2023-12-02
228,228,6,16,2023-07-11
229,229,306,22,2022-02-16
230,230,327,16,2023-07-03
231,231,219,19,2023-12-02
232,232,383,11,2023-04-09
233,233,382,13,2022-02-24
234,234,57,18,2023-06-24
235,235,116,1,2022-10-08
236,236,54,23,2023-11-21
237,237,165,21,2022-10-12
238,238,327,10,2023-05-16
239,239,156,16,2022-09-04
240,240,121,9,2023-12-20
241,241,114,12,2023-11-02
242,242,424,21,2023-09-16
243,243,240,8,2023-03-19
244,244,388,20,2023-05-05
245,245,17,4,2023-11-12
246,246,218,17,2023-01-04
247,247,79,12,2022-09-05
248,248,39,22,2023-12-21
249,249,247,11,2022-02-19
250,250,130,1,2023-08-01
251,251,109,16,2022-01-19
252,252,42,24,2022-04-29
253,253,265,11,2023-09-29
254,254,203,18,2023-08-10
255,255,356,15,2022-10-03
256,256,329,1,2023-09-28
257,257,183,6,2023-08-02
258,258,10,11,2023-11-04
259,259,480,12,2022-02-03
260,260,306,12,2023-05-10
261,261,471,19,2022-06-06
262,262,257,3,2023-06-28
263,263,136,15,2022-06-06
264,264,199,13,2023-06-02
265,265,25,13,2022-07-30
266,266,379,20,2023-09-13
267,267,325,6,2022-10-22
268,268,39,14,2023-10-13
269,269,48,3,2023-09-04
270,270,177,9,2022-02-06
271,271,415,23,2023-10-14
272,272,424,13,2022-07-01
273,273,378,16,2023-06-10
274,274,330,20,2022-01-27
275,275,261,18,2023-11-03
276,276,27,13,2023-05-30
277,277,409,7,2022-04-02
278,278,390,4,2022-06-03
279,279,491,22,2022-05-01
280,280,235,19,2022-12-07
281,281,308,5,2023-07-22
282,282,76,25,2022-06-14
283,283,107,8,2022-03-25
284,284,94,11,2023-02-04
285,285,248,16,2022-05-21
286,286,177,1,2023-12-08
287,287,362,7,2023-06-16
288,288,435,12,2023-03-16
289,289,63,14,2022-06-29
290,290,352,15,2023-12-18
291,291,59,9,2022-04-05
292,292,97,9,2022-06-28
293,293,254,21,2023-12-27
294,294,253,7,2022-05-28
295,295,103,11,2023-10-29
296,296,251,8,2023-12-18
297,297,250,9,2022-07-04
298,298,464,4,2023-11-24
299,299,458,10,2022-06-04
300,300,6,20,2022-09-16
301,301,94,2,2023-03-26
302,302,304,8,2023-05-08
303,303,133,4,2023-01-14
304,304,332,17,2023-04-12
305,305,33,20,2023-12-27
306,306,315,10,2022-05-27
307,307,175,2,2023-11-10
308,308,168,19,2022-05-20
309,309,339,11,2022-08-20
310,310,487,21,2022-01-03
311,311,442,25,2023-08-12
312,312,186,12,2023-12-07
313,313,434,24,2023-12-02
314,314,280,16,2023-05-22
315,315,311,23,2023-09-14
316,316,114,13,2022-10-30
317,317,343,6,2023-05-16
318,318,107,15,2023-08-23
319,319,178,15,2022-06-02
320,320,113,17,2023-10-04
321,321,50,14,2023-11-29
322,322,401,3,2022-05-11
323,323,298,5,2022-03-29
324,324,122,11,2022-04-17
325,325,52,22,2023-10-14
326,326,37,8,2023-11-03
327,327,106,2,2022-04-20
328,328,15,16,2022-12-03
329,329,96,12,2023-11-24
330,330,22,6,2022-09-24
331,331,207,19,2022-10-13
332,332,488,17,2022-10-23
333,333,364,24,2022-04-17
334,334,87,7,2022-05-23
335,335,421,24,2022-05-10
336,336,92,8,2022-06-24
337,337,464,2,2023-07-26
338,338,247,8,2023-06-21
339,339,385,11,2023-12-22
340,340,440,16,2022-03-02
341,341,481,25,2023-08-13
342,342,155,7,2023-08-22
343,343,425,4,2022-09-12
344,344,245,1,2023-06-24
345,345,499,12,2023-07-30
346,346,449,15,2023-06-16
347,347,105,16,2023-09-25
348,348,86,4,2022-08-19
349,349,486,4,2023-03-11
350,350,417,24,2023-07-22
351,351,95,5,2023-01-20
352,352,332,2,2023-06-13
353,353,3,20,2023-09-03
354,354,107,15,2022-03-11
355,355,190,4,2023-10-02
356,356,118,3,2023-04-05
357,357,431,18,2022-11-05
358,358,138,23,2023-09-05
359,359,278,18,2022-09-10
360,360,276,1,2022-07-22
361,361,227,21,2022-10-12
362,362,332,15,2022-08-25
363,363,278,4,2022-04-09
364,364,114,7,2023-04-02
365,365,31,22,2022-09-14
366,366,294,9,2023-02-10
367,367,86,10,2023-01-11
368,368,160,10,2022-02-01
369,369,225,16,2022-01-16
370,370,7,11,2022-08-27
371,371,470,12,2022-11-26
372,372,332,17,2023-06-16
373,373,66,7,2022-09-28
374,374,282,24,2022-04-14
375,375,341,4,2023-06-08
376,376,14,22,2023-07-23
377,377,415,6,2023-08-02
378,378,333,24,2022-08-26
379,379,264,11,2022-03-01
380,380,412,5,2023-07-02
381,381,143,16,2023-05-08
382,382,302,18,2022-06-19
383,383,492,11,2023-06-12
384,384,248,24,2022-12-29
385,385,112,15,2022-03-13
386,386,190,14,2022-10-29
387,387,51,11,2022-08-29
388,388,110,24,2022-02-04
389,389,228,25,2022-01-17
390,390,195,14,2023-03-03
391,391,348,16,2022-03-04
392,392,330,22,2023-12-16
393,393,205,7,2022-08-27
394,394,46,4,2023-08-10
395,395,403,3,2023-03-18
396,396,356,3,2022-04-17
397,397,493,19,2022-12-07
398,398,172,24,2022-08-14
399,399,13,20,2022-09-08
400,400,250,7,2022-04-27
401,401,430,7,2022-09-19
402,402,350,2,2022-08-24
403,403,249,16,2023-09-30
404,404,39,15,2022-01-09
405,405,396,7,2023-05-13
406,406,292,21,2023-10-30
407,407,108,1,2023-03-01
408,408,49,18,2023-08-18
409,409,70,2,2022-01-15
410,410,146,12,2023-06-14
411,411,66,2,2023-05-04
412,412,73,4,2023-02-05
413,413,93,9,2023-04-05
414,414,498,23,2022-11-02
415,415,65,10,2023-03-18
416,416,286,9,2023-05-05
417,417,124,5,2023-01-04
418,418,450,11,2022-03-04
419,419,393,14,2022-12-03
420,420,427,5,2023-08-13
421,421,338,20,2022-01-25
422,422,171,23,2022-08-13
423,423,196,15,2023-10-02
424,424,325,4,2022-05-13
425,425,12,15,2022-06-12
426,426,464,24,2022-02-05
427,427,318,12,2023-05-04
428,428,280,22,2023-09-12
429,429,11,8,2022-11-18
430,430,356,23,2022-11-25
431,431,5,18,2022-04-12
432,432,291,20,2023-03-01
433,433,276,24,2022-09-27
434,434,142,11,2023-03-22
435,435,167,23,2023-04-03
436,436,380,23,2023-07-06
437,437,399,3,2023-04-03
438,438,134,10,2022-07-09
439,439,17,11,2022-09-24
440,440,28,21,2023-01-06
441,441,462,3,2023-01-14
442,442,472,23,2023-11-13
443,443,166,14,2023-05-11
444,444,408,9,2022-01-10
445,445,288,6,2022-02-19
446,446,59,24,2023-02-08
447,447,330,16,2022-11-20
448,448,307,24,2023-09-04
449,449,347,8,2022-02-06
450,450,473,1,2022-03-15
451,451,114,9,2023-10-05
452,452,40,10,2022-02-04
453,453,178,24,2023-10-07
454,454,275,2,2023-02-01
455,455,322,16,2022-01-20
456,456,292,3,2022-09-18
457,457,401,9,2023-03-20
458,458,183,10,2023-06-16
459,459,131,1,2022-02-20
460,460,6,2,2022-10-28
461,461,19,1,2022-10-27
462,462,365,14,2022-09-18
463,463,434,12,2022-09-15
464,464,319,15,2023-01-30
465,465,270,7,2022-10-30
466,466,374,18,2023-03-28
467,467,179,6,2023-01-05
468,468,208,1,2022-10-16
469,469,458,18,2023-08-18
470,470,309,5,2022-10-16
471,471,202,14,2022-05-18
472,472,161,15,2023-03-09
473,473,30,3,2022-07-17
474,474,271,2,2023-12-15
475,475,240,20,2022-12-06
476,476,378,3,2022-04-02
477,477,259,4,2022-06-24
478,478,341,4,2023-01-29
479,479,180,6,2023-11-29
480,480,336,12,2022-03-03
481,481,285,22,2022-05-01
482,482,188,19,2022-12-04
483,483,308,1,2022-11-12
484,484,123,4,2022-12-13
485,485,481,1,2023-03-26
486,486,444,3,2023-05-25
487,487,131,3,2023-10-10
488,488,221,22,2022-10-09
489,489,246,16,2023-11-09
490,490,198,7,2022-04-14
491,491,320,2,2023-12-09
492,492,492,8,2022-06-10
493,493,358,8,2022-05-05
494,494,298,15,2023-02-16
495,495,241,2,2022-06-16
496,496,185,10,2023-01-20
497,497,51,14,2023-06-07
498,498,130,10,2022-10-12
499,499,194,19,2023-03-06
500,500,144,12,2023-10-22
501,501,258,20,2022-07-04
502,502,128,22,2022-11-12
503,503,43,22,2023-07-10
504,504,116,6,2023-06-05
505,505,458,25,2022-03-10
506,506,443,3,2022-09-05
507,507,442,15,2023-10-10
508,508,65,9,2023-12-01
509,509,348,9,2023-05-20
510,510,477,23,2023-09-02
511,511,418,23,2022-06-10
512,512,399,19,2023-04-14
513,513,383,23,2022-11-29
514,514,294,3,2022-09-30
515,515,468,10,2023-06-27
516,516,465,19,2022-11-10
517,517,10,1,2023-08-12
518,518,338,10,2023-01-29
519,519,173,25,2023-07-12
520,520,130,13,2022-08-29
521,521,451,19,2022-06-08
522,522,329,24,2022-10-24
523,523,286,24,2023-05-31
524,524,253,18,2022-01-19
525,525,329,16,2022-09-07
526,526,244,13,2023-11-14
527,527,326,22,2023-05-04
528,528,214,9,2023-08-09
529,529,240,7,2023-04-09
530,530,271,2,2022-11-26
531,531,127,9,2022-06-01
532,532,179,4,2023-07-31
533,533,51,18,2023-04-11
534,534,62,14,2022-05-10
535,535,433,18,2023-08-09
536,536,228,10,2023-03-29
537,537,222,15,2023-03-19
538,538,217,23,2023-02-14
539,539,385,2,2023-12-10
540,540,312,3,2023-08-26
541,541,61,20,2022-07-14
542,542,457,12,2022-06-17
543,543,194,9,2022-05-10
544,544,175,19,2023-11-05
545,545,332,20,2022-08-04
546,546,57,15,2023-03-22
547,547,442,19,2023-05-24
548,548,432,1,2023-06-28
549,549,406,12,2023-03-07
550,550,385,15,2022-11-23
551,551,294,4,2022-01-27
552,552,321,12,2023-10-31
553,553,223,24,2022-08-06
554,554,407,24,2023-08-29
555,555,333,22,2023-03-02
556,556,248,2,2023-11-09
557,557,155,9,2023-04-02
558,558,244,16,2022-04-24
559,559,139,2,2022-12-30
560,560,412,15,2023-04-25
561,561,483,2,2022-05-19
562,562,496,12,2022-01-19
563,563,356,3,2023-01-04
564,564,188,10,2022-09-20
565,565,316,10,2022-02-06
566,566,327,20,2023-12-10
567,567,318,18,2022-11-25
568,568,234,11,2022-05-16
569,569,189,13,2023-10-08
570,570,110,16,2022-09-22
571,571,486,9,2023-07-17
572,572,137,12,2022-12-11
573,573,375,11,2023-12-28
574,574,342,21,2023-04-30
575,575,199,25,2023-11-21
576,576,209,7,2022-09-05
577,577,423,11,2023-12-08
578,578,139,6,2022-01-04
579,579,362,11,2022-01-28
580,580,289,11,2022-08-09
581,581,399,1,2023-12-04
582,582,230,6,2023-04-27
583,583,475,24,2023-04-27
584,584,66,17,2023-10-03
585,585,361,23,2022-05-27
586,586,243,13,2023-08-09
587,587,167,22,2023-06-04
588,588,450,18,2023-05-25
589,589,30,23,2023-07-23
590,590,297,9,2022-06-11
591,591,376,21,2023-03-13
592,592,418,13,2022-01-24
593,593,120,14,2023-03-10
594,594,415,20,2023-07-08
595,595,15,21,2022-07-11
596,596,398,15,2023-03-22
597,597,348,10,2022-09-28
598,598,276,6,2023-10-19
599,599,463,25,2023-09-07
600,600,492,10,2022-07-21
601,601,354,12,2022-02-17
602,602,28,16,2023-09-10
603,603,425,13,2022-04-16
604,604,221,12,2022-08-18
605,605,244,16,2023-04-24
606,606,348,17,2022-09-20
607,607,71,9,2023-05-18
608,608,54,14,2022-10-22
609,609,288,3,2023-08-24
610,610,57,13,2022-07-17
611,611,483,22,2023-03-15
612,612,297,11,2022-01-23
613,613,437,22,2023-04-28
614,614,411,6,2022-12-18
615,615,310,6,2022-12-19
616,616,18,4,2023-02-02
617,617,310,3,2022-12-24
618,618,218,20,2023-05-03
619,619,271,2,2023-05-07
620,620,319,17,2022-05-26
621,621,106,2,2023-05-05
622,622,342,2,2022-01-22
623,623,268,3,2022-07-21
624,624,110,25,2022-11-12
625,625,422,24,2023-08-17
626,626,9,5,2022-08-02
627,627,484,25,2023-05-07
628,628,153,8,2022-07-02
629,629,425,14,2023-08-11
630,630,440,23,2022-06-29
631,631,388,25,2022-10-13
632,632,319,10,2022-04-11
633,633,282,1,2022-04-03
634,634,356,13,2023-11-20
635,635,295,21,2022-12-27
636,636,464,20,2023-09-20
637,637,60,4,2023-10-23
638,638,355,6,2023-08-10
639,639,433,10,2023-03-07
640,640,461,9,2022-02-10
641,641,126,3,2022-04-20
642,642,277,5,2023-07-21
643,643,236,20,2022-04-07
644,644,134,14,2023-01-01
645,645,302,12,2022-04-09
646,646,500,3,2023-11-01
647,647,74,1,2022-07-13
648,648,423,8,2023-07-31
649,649,416,24,2022-03-02
650,650,188,20,2023-01-30
651,651,221,22,2023-03-20
652,652,330,19,2022-09-17
653,653,78,7,2023-08-11
654,654,485,10,2022-07-13
655,655,285,22,2022-08-01
656,656,369,16,2023-01-01
657,657,450,22,2022-10-21
658,658,453,6,2023-06-27
659,659,256,10,2023-01-30
660,660,124,16,2023-05-06
661,661,123,10,2023-10-05
662,662,281,21,2022-11-29
663,663,27,24,2022-09-07
664,664,4,24,2022-07-03
665,665,447,15,2023-05-02
666,666,404,5,2023-12-02
667,667,405,3,2023-04-10
668,668,294,7,2022-03-18
669,669,205,6,2023-01-02
670,670,23,11,2022-12-27
671,671,101,6,2023-03-11
672,672,227,20,2023-09-13
673,673,74,9,2023-11-02
674,674,324,10,2023-11-23
675,675,396,23,2023-06-08
676,676,125,23,2023-04-23
677,677,73,13,2023-07-26
678,678,367,15,2023-12-26
679,679,249,19,2022-09-04
680,680,375,17,2023-11-13
681,681,269,19,2022-10-02
682,682,440,20,2022-03-23
683,683,410,6,2023-06-24
684,684,495,14,2023-03-30
685,685,84,17,2023-05-15
686,686,245,9,2023-05-25
687,687,403,18,2023-01-28
688,688,470,20,2022-03-27
689,689,26,10,2022-01-19
690,690,226,13,2023-12-23
691,691,446,6,2023-09-04
692,692,193,20,2023-01-26
693,693,160,6,2022-10-16
694,694,51,24,2022-11-21
695,695,248,8,2022-03-18
696,696,340,17,2022-02-21
697,697,72,1,2022-10-20
698,698,10,9,2022-03-21
699,699,360,1,2023-04-17
700,700,412,4,2023-08-04
701,701,35,5,2023-09-02
702,702,397,9,2022-09-13
703,703,402,23,2022-09-12
704,704,233,2,2022-07-04
705,705,216,12,2023-03-25
706,706,270,4,2022-10-26
707,707,317,13,2022-08-16
708,708,409,12,2022-11-22
709,709,15,3,2023-08-20
710,710,107,12,2022-08-03
711,711,462,3,2023-11-09
712,712,40,1,2022-04-27
713,713,368,11,2023-06-08
714,714,154,12,2023-02-10
715,715,226,8,2022-04-04
716,716,416,8,2023-05-04
717,717,29,23,2022-02-17
718,718,370,23,2022-03-09
719,719,340,23,2023-04-18
720,720,140,19,2022-07-15
721,721,47,15,2023-01-04
722,722,212,1,2023-05-27
723,723,119,1,2022-07-09
724,724,483,4,2023-12-24
725,725,477,23,2023-04-01
726,726,109,15,2022-08-07
727,727,120,20,2023-05-08
728,728,415,21,2023-11-06
729,729,22,3,2022-01-06
730,730,50,22,2022-10-24
731,731,289,6,2023-02-28
732,732,80,3,2023-07-19
733,733,315,6,2022-06-13
734,734,486,24,2023-11-25
735,735,458,9,2022-01-16
736,736,0,14,2022-03-21
737,737,106,17,2023-01-26
738,738,171,9,2023-12-11
739,739,303,14,2023-02-17
740,740,27,6,2023-10-28
741,741,160,3,2022-10-05
742,742,127,11,2023-07-10
743,743,369,2,2022-10-11
744,744,424,16,2022-03-27
745,745,32,18,2023-12-30
746,746,436,1,2022-02-03
747,747,489,10,2022-12-14
748,748,26,3,2022-11-20
749,749,382,8,2022-03-13
750,750,362,4,2023-08-09
751,751,483,11,2023-09-18
752,752,495,21,2023-02-21
753,753,29,5,2023-05-09
754,754,207,20,2022-07-15
755,755,409,23,2022-10-08
756,756,407,25,2023-05-22
757,757,248,20,2023-03-24
758,758,213,2,2022-12-02
759,759,131,17,2022-12-07
760,760,192,5,2022-11-21
761,761,241,12,2022-01-09
762,762,428,9,2022-06-23
763,763,91,10,2023-02-15
764,764,442,9,2022-02-28
765,765,198,19,2022-09-27
766,766,339,24,2023-12-10
767,767,256,14,2022-04-23
768,768,399,24,2023-05-19
769,769,172,9,2022-04-19
770,770,378,17,2022-06-13
771,771,255,25,2023-05-26
772,772,55,4,2022-11-04
773,773,287,18,2022-04-10
774,774,195,2,2023-01-13
775,775,493,18,2022-01-22
776,776,484,3,2023-08-05
777,777,255,22,2022-12-05
778,778,181,16,2022-02-13
779,779,285,6,2023-02-16
780,780,251,24,2023-07-16
781,781,195,11,2022-02-17
782,782,134,9,2022-10-24
783,783,46,10,2022-10-13
784,784,382,5,2023-10-02
785,785,498,9,2022-05-29
786,786,383,13,2023-05-21
787,787,404,21,2022-01-20
788,788,271,18,2022-03-04
789,789,358,12,2022-02-14
790,790,33,11,2022-05-07
791,791,116,15,2023-11-17
792,792,262,22,2023-03-02
793,793,394,6,2023-02-25
794,794,261,9,2023-09-25
795,795,485,15,2022-02-14
796,796,150,5,2022-09-18
797,797,32,14,2023-07-31
798,798,340,17,2022-04-30
799,799,150,5,2022-01-06
800,800,227,13,2023-11-07
